State,Year,Incentive ($),Additional Registration Fee ($/year),dem_margin,num_stations,num_charging_outlets,Electric (EV),Car Sales,EV Sales Market Share,norm_num_stations
New Hampshire,2019,0.0,0.0,7.4,121,244,1900,115641.97123740746,0.6053165580885277,0.0010463329075530265
New Jersey,2019,2600.0,0.0,15.9,457,1297,20200,564182.4511814106,1.205283855561379,0.0008100216499875738
New Mexico,2019,0.0,0.0,10.8,82,245,1900,86098.2669948212,0.696878138134987,0.0009524001221178156
New York,2019,2000.0,0.0,23.1,1655,4531,23000,961725.838645595,0.7798480293055556,0.0017208646513342594
North Carolina,2019,0.0,140.25,-1.3,732,1903,11600,474737.8697511024,0.9057630060678374,0.0015419035359108303
North Dakota,2019,0.0,120.0,-33.4,28,46,200,35113.49979837464,0.2847907516317381,0.0007974141045688668
Ohio,2019,0.0,200.0,-8.0,544,1443,10200,590532.6745023222,0.6434868321558144,0.0009212022018230606
Oklahoma,2019,0.0,110.0,-33.1,131,309,3400,472426.87911886006,-0.06350189061205419,0.00027729158900596996
Oregon,2019,2500.0,91.0,16.1,722,1895,18800,185596.58207163648,2.6940151290448346,0.0038901578463407414
Pennsylvania,2019,2000.0,0.0,1.2,572,1475,12000,647264.7213351134,0.6179851717778156,0.0008837187956422763
Rhode Island,2019,0.0,0.0,20.8,113,407,1100,52117.4607383296,0.7674971004598875,0.0021681793087991825
South Carolina,2019,0.0,60.0,-11.7,286,643,3000,238314.28411018048,0.41961395798569395,0.0012000959198390847
South Dakota,2019,0.0,50.0,-26.2,41,127,300,32374.82183312531,0.3088820087271705,0.0012664162357813988
Tennessee,2019,2500.0,100.0,-23.2,453,1207,5700,286830.2970472236,0.6275487696139884,0.0015793310701952043
Texas,2019,2500.0,0.0,-5.6,1376,4009,38400,1619748.0673077544,0.8581581469705795,0.0008495148275046888
Utah,2019,0.0,130.25,-20.5,289,950,8000,168723.26913542426,1.4224475452011667,0.0017128639190130716
Vermont,2019,1250.0,0.0,35.4,237,664,1700,50617.47375196216,1.185361408868694,0.00468217756503134
Virginia,2019,0.0,120.0,10.1,710,2056,15000,371191.93161493575,1.3739522779526898,0.0019127570928360975
Washington,2019,0.0,150.0,19.2,1095,3206,40400,330799.512948351,3.0834386390383126,0.003310162068379365
West Virginia,2019,0.0,200.0,-38.9,89,244,400,83736.7427007538,0.23884377819033506,0.001062854812946991
